название,дата_начала,дата_окончания,предметы,класс_от,класс_до,уровень,регион,источник,url,описание
«Интеллект Приморья»,2026-10-15,2027-01-31,Mat Rus His Eng Inf,5,11,муниципальный,Приморский край,Администрация Владивостока,https://www.vlc.ru,Муниципальный конкурс Владивостока по ключевым предметам. Победители представляют Владивосток на краевых олимпиадах.
«Мы — дети природы»,2026-09-01,2026-11-30,Ecl Bio Geo,1,7,региональный,Приморский край,Центр экологии ПК,https://ecо.primorsky.ru,Краевой конкурс рисунков фотографий и исследовательских работ по экологии Приморья для 1–7 классов. Природа Уссурийской тайги морские берега заповедники.
ВсОШ заключит. (физкул.),2026-03-01,2026-05-30,Spo,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Заключительный этап ВсОШ по физической культуре — завершается в конце мая 2026. Практический и теоретический туры финала.
ВсОШ заключит. (технол.),2026-03-10,2026-05-28,Tec,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Заключительный этап ВсОШ по технологии — завершается в конце мая 2026. Практические задания финала.
ВсОШ заключит. (экология),2026-03-15,2026-05-25,Ecl,5,11,федеральный,Все регионы,Минпросвещения,https://vserosolymp.ruobr.ru,Заключительный этап ВсОШ по экологии — завершается 25 мая 2026. Теоретический тур и защита проектов.
«Живая классика» финал,2026-04-01,2026-06-15,Lit Rus,4,11,федеральный,Республика Крым (Артек),Фонд «Живая классика»,https://живаяклассика.рф,Всероссийский финал конкурса чтецов «Живая классика» в «Артеке». Победители региональных этапов выступают перед жюри в июне 2026.
НТО финал 2025-2026,2026-04-01,2026-06-30,Mat Inf Phy Tec,5,11,федеральный,Москва / вузы,Россия — страна возможностей,https://ntcontest.ru,Финальный этап Национальной технологической олимпиады сезона 2025–2026. Проектные сессии на площадках вузов-партнёров завершаются в июне 2026.
«Большие вызовы» отбор,2026-05-01,2026-07-25,Mat Inf Phy Che Bio Tec Ecl,5,11,федеральный,Сочи (Сириус),Сириус,https://konkurs.sochisirius.ru,Финальная проектная смена конкурса «Большие вызовы» в центре «Сириус» — июль 2026. Отбор победителей на смену завершается в мае.
«Шаг в будущее» финал,2026-04-01,2026-06-01,Mat Phy Che Bio Inf Tec Ecl,5,11,федеральный,Москва (МГТУ),МГТУ им. Баумана,https://www.step-in-future.ru,Финал научно-инженерной программы «Шаг в будущее» в МГТУ — конец мая — начало июня 2026.
«Конкурс Вернадского» финал,2026-04-10,2026-05-31,Ecl Bio Geo His,6,11,федеральный,Москва,Центр «Вернадский»,https://vernadsky.info,Очный финал Всероссийского юниорского конкурса им. Вернадского — май–июнь 2026. Защита исследовательских работ перед экспертами в Москве.
«Учёные будущего» финал,2026-04-15,2026-06-10,Mat Phy Che Bio Inf Ecl,7,11,федеральный,Москва,Intel ISEF Россия,https://future-researchers.ru,Финал российского конкурса «Учёные будущего» — июнь 2026. Отбор представителей России на международный Intel ISEF.
«Я — профессионал» финал,2026-03-01,2026-06-01,Mat Inf Phy Che Bio Eco His Soc Law,9,11,всероссийский,Москва / онлайн,РСОШ / Ведущие вузы,https://yandex.ru/profi,Финальные туры олимпиады «Я — профессионал» сезона 2025–2026 завершаются в июне 2026. Более 70 направлений подготовки.
«Цифровой прорыв» весна,2026-04-01,2026-06-30,Inf Tec Mat,7,11,федеральный,Онлайн / регионы,Россия — страна возможностей,https://digitalproryv.ru,Весенний хакатон «Цифровой прорыв» для школьников — апрель–июнь 2026. Командная разработка цифровых решений.
Олимп. Яндекса «Алгоритм»,2026-04-01,2026-06-01,Inf Mat,7,11,федеральный,Онлайн,Яндекс,https://yandex.ru/olymp,Командная олимпиада Яндекса по алгоритмическому программированию — финальный тур весна 2026. Команды по 2–3 человека.
«Проектория» хакатон весна,2026-05-01,2026-07-01,Inf Tec Mat,7,11,федеральный,Онлайн / регионы,Россия — страна возможностей,https://proektoria.online,Весенний хакатон платформы «Проектория» — май–июль 2026. Командные проекты по технологическим и социальным направлениям.
«Тихоокеанский берег» финал,2026-04-01,2026-05-30,Geo Ecl His,6,11,региональный,Приморский край,ДВФУ / Администрация ПК,https://dvfu.ru,Финальный тур региональной олимпиады «Тихоокеанский берег» — май 2026. Очный тур во Владивостоке.
«Дальневост. наука» конф.,2026-04-01,2026-06-01,Mat Phy Che Bio Inf Ecl,5,11,региональный,Приморский край,ДВО РАН,https://www.dvo.ru,Итоговая конференция «Дальневосточная наука» ДВО РАН — май–июнь 2026. Очная защита исследовательских проектов школьников перед учёными РАН.
«Экология Приморья» итоги,2026-04-01,2026-06-15,Ecl Bio Geo,5,11,региональный,Приморский край,Центр экологии ПК,https://eco.primorsky.ru,Финальный тур краевого конкурса «Экология Приморья» — май–июнь 2026. Защита проектов на площадке краевого Центра экологии.
«Примробот» весна,2026-04-01,2026-05-31,Tec Inf Mat,5,11,региональный,Приморский край,Краевой центр «Сириус»,https://sirius.primorsky.ru,Весенний финал краевого конкурса по робототехнике «Примробот» — май 2026. Соревнования роботов на площадке «Сириуса» Владивосток.
«Юный исследователь» финал,2026-03-15,2026-05-30,Mat Phy Che Bio Inf Ecl Geo His Lit,1,8,региональный,Приморский край,Минобразования ПК,https://iroipk.ru,Финальный тур краевого конкурса «Юный исследователь» — май 2026. Представление и защита проектов на краевой площадке.
«Морской конкурс» финал,2026-04-01,2026-05-28,Geo Phy Mat,6,11,региональный,Приморский край,ТИНРО / ДВНИГМИ,https://www.tinro-center.ru,Финал конкурса школьников Приморья по морской тематике — май 2026. Защита работ по океанологии и биологии моря.
«Интеллект Приморья» финал,2026-04-01,2026-06-01,Mat Rus His Eng Inf,5,11,муниципальный,Приморский край,Администрация Владивостока,https://www.vlc.ru,Финальный тур муниципального конкурса «Интеллект Приморья» — май–июнь 2026. Очный тур на площадках Владивостока.
«Созвездие» финал,2026-04-01,2026-05-31,Mat Gem,4,8,региональный,Приморский край,ДВФУ / Минобразования ПК,https://iroipk.ru,Финальный тур краевой олимпиады «Созвездие» по математике — май 2026. Очный финал в одной из школ Владивостока.
Летняя школа ДВФУ 2026,2026-06-20,2026-08-20,Mat Phy Che Bio Inf,6,11,региональный,Дальний Восток,ДВФУ,https://dvfu.ru,Летняя профильная школа ДВФУ для победителей олимпиад — июль–август 2026. Образовательные модули по точным и естественным наукам. Бесплатно для победителей олимпиад ДВФУ.
«Сириус» лето 2026,2026-06-01,2026-08-31,Mat Inf Phy Che Bio Tec,5,11,федеральный,Сочи (Сириус),Сириус,https://sochisirius.ru,Летние образовательные смены центра «Сириус» — июнь–август 2026. Участие по итогам олимпиад и конкурсов. Направления: наука спорт искусство.
«Тигр и я» весна,2026-04-01,2026-06-01,Ecl Bio,4,11,региональный,Приморский край,Центр «Амурский тигр»,https://amur-tiger.ru,Весенний финал краевого конкурса «Тигр и я» — май–июнь 2026. Защита проектов и рисунков о редких видах Уссурийской тайги.
«Юный программист» финал,2026-04-01,2026-05-31,Inf Mat,5,10,региональный,Дальний Восток,Минобразования ПК,https://iroipk.ru,Финал краевого конкурса «Юный программист Дальнего Востока» — май 2026. Очный финальный тур на платформе программирования.
